row_id,timestamp_ns,time_s,raw_norm,w_raw,x_raw,y_raw,z_raw,w,x,y,z,split,w_ARA,x_ARA,y_ARA,z_ARA
0,1403636580838555648,0.0,1.000000405148918,0.534108,-0.153029,-0.827383,-0.082152,0.5341077836068094,-0.15302893800049136,-0.8273826647868086,-0.08215196671621958,development,1.5341077836068093,0.8469710619995087,0.17261733521319145,0.9178480332837804
20,1403636580938555392,0.099999744,1.0000097264151986,0.544867,-0.151968,-0.819076,-0.095706,0.5448617004488756,-0.1519665219105116,-0.8190680334042313,-0.095705069132761,development,1.5448617004488756,0.8480334780894884,0.1809319665957687,0.904294930867239
40,1403636581038555392,0.199999744,1.0000150043559346,0.556238,-0.149766,-0.811404,-0.099111,0.556229654132288,-0.14976375289134553,-0.8113918255882465,-0.09910951292559156,development,1.556229654132288,0.8502362471086544,0.18860817441175348,0.9008904870744084
60,1403636581138555648,0.3,1.0000036307764089,0.567634,-0.150985,-0.803099,-0.100172,0.5676319390553467,-0.15098445180921427,-0.8030960841376836,-0.10017163629918609,development,1.5676319390553468,0.8490155481907857,0.19690391586231637,0.8998283637008139
80,1403636581238555392,0.399999744,0.9999996599814421,0.581324,-0.153611,-0.792679,-0.100625,0.5813241976610153,-0.15361105223060845,-0.7926792695256621,-0.10062503421437903,development,1.5813241976610153,0.8463889477693916,0.20732073047433786,0.8993749657856209
101,1403636581343555328,0.50499968,0.9999998906629941,0.593533,-0.151954,-0.783664,-0.102465,0.5935330648951281,-0.15195401661419722,-0.7836640856834848,-0.10246501120321753,development,1.5935330648951282,0.8480459833858027,0.21633591431651522,0.8975349887967825
121,1403636581443555584,0.604999936,1.000000929581568,0.594009,-0.150351,-0.782899,-0.107791,0.5940084478206957,-0.15035086023661162,-0.7828982722321965,-0.10779089979956635,development,1.5940084478206957,0.8496491397633884,0.21710172776780345,0.8922091002004336
141,1403636581543555584,0.704999936,1.0000046357632548,0.585268,-0.149762,-0.789238,-0.110206,0.585265286848689,-0.14976130574204186,-0.7892343412964412,-0.11020548911344309,development,1.585265286848689,0.8502386942579582,0.2107656587035588,0.8897945108865569
161,1403636581643555328,0.80499968,1.0000086260127958,0.576227,-0.152671,-0.796007,-0.105091,0.5762220295014003,-0.1526696830693603,-0.7960001336926613,-0.10509009349150883,development,1.5762220295014004,0.8473303169306396,0.20399986630733868,0.8949099065084911
182,1403636581748555520,0.909999872,1.0000107979567021,0.571208,-0.153349,-0.799857,-0.102254,0.5712018321873479,-0.15334734416201737,-0.7998483632720051,-0.10225289587765765,development,1.5712018321873478,0.8466526558379827,0.20015163672799485,0.8977471041223424
202,1403636581848555520,1.009999872,1.0000120908844052,0.569243,-0.151676,-0.802137,-0.097761,0.5692361174319049,-0.15167416612519014,-0.8021273015715185,-0.09775981799734111,development,1.569236117431905,0.8483258338748099,0.19787269842848154,0.9022401820026589
222,1403636581948555520,1.109999872,1.0000031088901673,0.561477,-0.155024,-0.807358,-0.094289,0.5614752544351023,-0.15502351804890904,-0.8073554900204556,-0.09428870686676633,development,1.5614752544351023,0.844976481951091,0.1926445099795444,0.9057112931332336
242,1403636582048555520,1.209999872,1.0000046315417743,0.54767,-0.160118,-0.815784,-0.094475,0.5476674634552645,-0.1601172584102289,-0.8157802216798246,-0.09447456243711747,development,1.5476674634552645,0.8398827415897712,0.18421977832017544,0.9055254375628825
262,1403636582148555520,1.309999872,1.0000004851048825,0.534372,-0.160496,-0.824867,-0.091011,0.5343717407736595,-0.16049592214264455,-0.824866599853185,-0.09101095585014095,development,1.5343717407736595,0.8395040778573555,0.175133400146815,0.908989044149859
283,1403636582253555456,1.414999808,1.0000001921879815,0.525938,-0.15944,-0.830916,-0.086874,0.5259378989210568,-0.1594399693575541,-0.8309158403079618,-0.0868739833038645,development,1.5259378989210568,0.8405600306424459,0.16908415969203816,0.9131260166961355
303,1403636582353555456,1.514999808,1.0000009496385491,0.526477,-0.158586,-0.830983,-0.084508,0.5264765000376204,-0.15858584940076406,-0.830982210867259,-0.0845079197480217,development,1.5264765000376204,0.841414150599236,0.16901778913274101,0.9154920802519783
