split,draw,parent_ridge_distance
development,0,0.17373026907764633
development,1,0.15792879659489922
development,2,0.22152741342705673
development,3,0.24827225982702017
development,4,0.1873039485770689
development,5,0.282176180462672
development,6,0.25134238930694264
development,7,0.2393717366158971
development,8,0.1948352083615048
development,9,0.15124417757788794
development,10,0.2999787516650274
development,11,0.15162366016886236
development,12,0.17127568344917093
development,13,0.2244175103471483
development,14,0.2108107788190578
development,15,0.19225357117080522
development,16,0.14172663563249788
development,17,0.16337740531994294
development,18,0.22132942782736764
development,19,0.2662741308588512
development,20,0.13919175196309141
development,21,0.27780744644874134
development,22,0.16932857485588637
development,23,0.2630291441933329
development,24,0.21968959490904627
development,25,0.18702731522621047
development,26,0.2494459905665034
development,27,0.2699584904998833
development,28,0.23277214153787945
development,29,0.187668147969402
development,30,0.14770126357148117
development,31,0.23991334327366898
development,32,0.15489919442494088
development,33,0.19498702715731725
development,34,0.2244175103471483
development,35,0.1820759215653981
development,36,0.10671605254764394
development,37,0.23956830467673357
development,38,0.209870859376382
development,39,0.21522346383088897
development,40,0.23956368290132346
development,41,0.21937869969350227
development,42,0.19160443575467706
development,43,0.22559316821150144
development,44,0.26894884159226706
development,45,0.1978695813552913
development,46,0.20733086217100072
development,47,0.22172015995393457
development,48,0.1482157347001819
development,49,0.22011838293652625
development,50,0.17695445511298713
development,51,0.19230794011334645
development,52,0.09464532266887671
development,53,0.20168625014979935
development,54,0.19836289991432943
development,55,0.21214354890657816
development,56,0.15271315862678858
development,57,0.22678872470152334
development,58,0.1874586982937258
development,59,0.2435292139576456
development,60,0.18511737885356455
development,61,0.1510822107828486
development,62,0.15593569061749007
development,63,0.25463160318176864
development,64,0.22859574301035956
development,65,0.1656779347852303
development,66,0.1851953527645278
development,67,0.2630291441933329
development,68,0.18581896346490634
development,69,0.15474157047993353
development,70,0.22932385614586737
development,71,0.0998519643864954
development,72,0.2563022507886343
development,73,0.17200938434142365
development,74,0.17336539276729618
development,75,0.2395348513528901
development,76,0.2160552543314378
development,77,0.15451255971149003
development,78,0.20264317726322412
development,79,0.25502773096700165
development,80,0.21646523164376286
development,81,0.2038975123096436
development,82,0.11867330842215457
development,83,0.162531078716332
development,84,0.24479245589984405
development,85,0.2036063221636082
development,86,0.23114973240310172
development,87,0.24189685594502924
development,88,0.21559526522755135
development,89,0.26132167141783774
development,90,0.16255670984649995
development,91,0.20268715246427982
development,92,0.1847279876759219
development,93,0.18086968913550278
development,94,0.17717304034877152
development,95,0.18039165273887758
development,96,0.15135570225759176
development,97,0.1898378386930698
development,98,0.19326437602076463
development,99,0.1764965483918921
development,100,0.25054107405230736
development,101,0.15707798608053347
development,102,0.20847477781701151
development,103,0.20901476994414375
development,104,0.1541629951436954
development,105,0.35972073435300456
development,106,0.15852509260201353
development,107,0.22351771532203135
development,108,0.19540689385943466
development,109,0.21402654605076704
development,110,0.12727537375789155
development,111,0.15268771407296744
development,112,0.19390189146466458
development,113,0.1725770945427229
development,114,0.2224551828044976
development,115,0.22228486327813562
development,116,0.2164799724204975
development,117,0.172539413402008
development,118,0.23796810291824294
development,119,0.23550275591915526
development,120,0.1517983133902998
development,121,0.23424567242913263
development,122,0.2423100554179431
development,123,0.18624161407689355
development,124,0.18254162970981436
development,125,0.15739088000326662
development,126,0.14987673239218685
development,127,0.16502147572485998
development,128,0.2366238168318172
development,129,0.14969467030437433
development,130,0.1972814073674818
development,131,0.25588431597035327
development,132,0.25936605732771817
development,133,0.25799773658432734
development,134,0.19091710045706362
development,135,0.25913292512114516
development,136,0.23303576992362524
development,137,0.1911207293345074
development,138,0.24471617324833084
development,139,0.17095966103287602
development,140,0.15709286098829245
development,141,0.17589934292088238
development,142,0.1146078671522871
development,143,0.2207258642649399
development,144,0.2013097660978026
development,145,0.15805937331388376
development,146,0.25655476317136444
development,147,0.14322239945235765
development,148,0.09878983187956114
development,149,0.21589848767760356
development,150,0.20510512571181527
development,151,0.18951905083093257
development,152,0.2615935782541209
development,153,0.15298749652112004
development,154,0.1782225750610843
development,155,0.21775687377155262
development,156,0.1324517651594047
development,157,0.17265989573683999
development,158,0.16729449220870718
development,159,0.2577047320566953
development,160,0.27715186693261756
development,161,0.21900151767629478
development,162,0.18627400392892457
development,163,0.17861437388791945
development,164,0.14683532921526177
development,165,0.18307995975115626
development,166,0.1503274400607419
development,167,0.2034630097089098
development,168,0.2587377379777572
development,169,0.2671843807421742
development,170,0.34222901256184535
development,171,0.18038439249806404
development,172,0.16287224282710744
development,173,0.17239337516795156
development,174,0.22864037222957445
development,175,0.1313473249906203
development,176,0.22992998307255869
development,177,0.22444495960032185
development,178,0.19115013607458242
development,179,0.18588582876455728
development,180,0.12498461453662557
development,181,0.32682257108242707
development,182,0.1762741440985866
development,183,0.20626289846695472
development,184,0.18496107251717397
development,185,0.1949034345543612
development,186,0.10891238574032036
