intervention,metric,median,signed_median,n
radial_inverted,abs_delta_x_l,1.250200828017035,0.0,1656
radial_inverted,abs_delta_x_c,0.0,0.0,1656
radial_inverted,abs_delta_x_p,0.0,0.0,1656
radial_inverted,abs_delta_x_r,0.0,0.0,1656
radial_inverted,abs_delta_mean_rho,0.0,0.0,1656
phase_reflected,abs_delta_x_l,0.0,0.0,1656
phase_reflected,abs_delta_x_c,2.0,-0.009805216419232876,1656
phase_reflected,abs_delta_x_p,0.0,0.0,1656
phase_reflected,abs_delta_x_r,0.0,0.0,1656
phase_reflected,abs_delta_mean_rho,3.469446951953614e-18,0.0,1656
shuffled,abs_delta_x_l,0.0,0.0,1656
shuffled,abs_delta_x_c,0.965348111601674,-0.005074768485219039,1656
shuffled,abs_delta_x_p,0.0,0.0,1656
shuffled,abs_delta_x_r,1.9452882231234923,1.9452882231234923,1656
shuffled,abs_delta_mean_rho,0.9858709757384438,-0.9858709757384438,1656
endpoint_shuffled,abs_delta_x_l,0.0,0.0,1656
endpoint_shuffled,abs_delta_x_c,0.9684148782725872,-0.00615160126562575,1656
endpoint_shuffled,abs_delta_x_p,0.0,0.0,1656
endpoint_shuffled,abs_delta_x_r,1.943906561412883,1.943906561412883,1656
endpoint_shuffled,abs_delta_mean_rho,0.9857637370412071,-0.9857637370412071,1656
