split,case_id,regime,mode,tooth,tooth_position,geometry_onset_tick,lock_onset_tick,unlock_onset_tick
holdout,0,progressive,forward,0,0.0125,118.0,106.0,
holdout,0,progressive,forward,1,0.0375,118.0,66.0,
holdout,0,progressive,forward,2,0.0625,128.0,100.0,
holdout,0,progressive,forward,3,0.0875,176.0,142.0,
holdout,0,progressive,forward,4,0.1125,194.0,215.0,
holdout,0,progressive,forward,5,0.1375,206.0,214.0,
holdout,0,progressive,forward,6,0.1625,230.0,215.0,
holdout,0,progressive,forward,7,0.1875,242.0,214.0,
holdout,0,progressive,forward,8,0.2125,254.0,235.0,
holdout,0,progressive,forward,9,0.2375,288.0,284.0,
holdout,0,progressive,forward,10,0.2625,293.0,282.0,
holdout,0,progressive,forward,11,0.2875,302.0,276.0,
holdout,0,progressive,forward,12,0.3125,337.0,327.0,
holdout,0,progressive,forward,13,0.3375,347.0,330.0,
holdout,0,progressive,forward,14,0.3625,379.0,347.0,
holdout,0,progressive,forward,15,0.3875,383.0,307.0,
holdout,0,progressive,forward,16,0.4125,425.0,404.0,
holdout,0,progressive,forward,17,0.4375,434.0,422.0,
holdout,0,progressive,forward,18,0.4625,445.0,432.0,
holdout,0,progressive,forward,19,0.4875,457.0,458.0,
holdout,0,progressive,forward,20,0.5125,494.0,67.0,
holdout,0,progressive,forward,21,0.5375,495.0,453.0,
holdout,0,progressive,forward,22,0.5625,511.0,323.0,
holdout,0,progressive,forward,23,0.5875,544.0,410.0,
holdout,0,progressive,forward,24,0.6125,571.0,471.0,
holdout,0,progressive,forward,25,0.6375,567.0,525.0,
holdout,0,progressive,forward,26,0.6625,610.0,130.0,
holdout,0,progressive,forward,27,0.6875,618.0,256.0,
holdout,0,progressive,forward,28,0.7125,641.0,102.0,
holdout,0,progressive,forward,29,0.7375,657.0,40.0,
holdout,0,progressive,forward,30,0.7625,676.0,652.0,
holdout,0,progressive,forward,31,0.7875,707.0,686.0,
holdout,0,progressive,forward,32,0.8125,709.0,576.0,
holdout,0,progressive,forward,33,0.8375,753.0,729.0,
holdout,0,progressive,forward,34,0.8625,747.0,139.0,
holdout,0,progressive,forward,35,0.8875,,233.0,
holdout,0,progressive,forward,36,0.9125,,518.0,
holdout,0,progressive,forward,37,0.9375,,436.0,
holdout,0,progressive,forward,38,0.9625,,665.0,
holdout,0,progressive,forward,39,0.9875,,69.0,
holdout,0,memory-only,forward,0,0.0125,118.0,629.0,
