gate,name,pass,detail
1,source and causality QA,True,All features trailing; specimen split fixed before scoring; source hashes recorded.
2,holdout event coverage,True,59 events total; minimum 2 per specimen.
3,pre-onset organisation,False,not scored: development early-stop assigned zero primary feature weights
4,temporal direction,False,not scored: development early-stop assigned zero primary feature weights
5,child precedence,False,not scored: development early-stop assigned zero primary feature weights
6,not merely released waves,False,not scored: development early-stop assigned zero primary feature weights
7,relation specificity,False,not scored: development early-stop assigned zero primary feature weights
8,label specificity,False,not scored: development early-stop assigned zero primary feature weights
9,baseline value,False,not scored: development early-stop assigned zero primary feature weights
10,false-warning boundary,False,not scored: development early-stop assigned zero primary feature weights
