test_group,grain,measured_or_modelled,result,status,claim_boundary
T371-T372,Population source,Measured detector counts plus fitted physical branches,Ordered prompt and delayed handover recovered; native equality gradient mapped,Supported with exact-half unresolved,Not an individual linked decay
T373-T375,Population detector medium,Measured liquid-argon energy and timing,Prompt-to-delayed order retained and energy resolution restores placement,Supported mechanism within one archive,Not universal same-coordinate transfer
T376-T380,Individual detector events,Incoming pulse relations linked to later charged daughter,Static parent and child cuts do not predict individual delay,Not supported as individual clock,Neutrinos unobserved
T382-T391,Population spin field,Aggregate detector shares over spin phase,Two-axis spin anti-phase recovered but exact 7.5-turn release rejected,Mixed: geometry supported / trigger rejected,No individual trajectory or neutrino
T392-T393,Daughter allocation,Polarized daughter asymmetry plus Standard-Model neutral decomposition,Charged/joint-neutral reversal near half and asymmetric two-child neutral pair,Supported crosswalk,Mostly template/truth-level neutral children
T394-T396,Truth model plus population timing,Standard-Model event truth and tagged-decay distributions,Population anti-phase forecast and Information-cubed distribution locks pass,Supported at stated model/population grains,No direct two-neutrino event measurement
T397,Population spin field,Aggregate daughter detector orientation and common-mode phase,Orientation passes; population maturity fails,Mixed,No individual creation clock
T398-T399,Population waveform,Fitted COHERENT prompt/delayed templates,Full lead-up sequence visible; high-stringency child-half sequence misses two gates,Directional support,Not individual birth
T400-T405,Population/event-weight detector footprint,Delayed child window and source contrast,Stable ridge-crossing footprint survives; exact mirror and missing-band stories fail,Partial component relation,Detector response not pristine neutrino waveform
T406-T409,Individual event-linked transfer,Incoming parent/child coordinates and later daughter windows,Nested children give near-support but static landmarks and upper-band travel do not confirm,Directional only,No exact individual neutrino handover
