gate_id,description,passed,value
F1,44 finite cells and four expected Bell identities,True,"{""cells"": 44, ""complete"": true}"
F2,swap preserves the two-component sum within 1e-12,True,0.0
F3,parameter-free direction swap gain > 0,False,-0.5991080909340398
F4,direction matched-stage permutation p <= 0.05,False,0.3098
F5,direction flipped-parity fraction >= 0.75,False,0.22727272727272727
F6,direction flipped cosine >= 0.50,False,-0.26472133082034444
F7,median held-out direction swap gain > 0,False,0.0
F8,swap wins direction in at least 3/4 held-out states,False,1
F9,parameter-free amplitude swap gain > 0,False,-2.3826363541631865
F10,amplitude matched-stage permutation p <= 0.05,False,1.0
F11,amplitude flipped-parity fraction >= 0.75,False,0.3409090909090909
F12,median held-out amplitude swap gain > 0,False,-1.1773941153547396
