rung,rung_order,domain,reading_type,ara_coordinate,characteristic_scale_m,log10_scale_m,mean_kinetic,mean_potential,energy_unit,te_ara_total
1. Planetary — Earth–Sun,1,Classical gravitation,Raw Traversal allocation,0.6666666666666666,149597870700.0,11.17492541204568,2.6490393746046813e+33,-5.298078749209363e+33,J,2.0
1. Planetary — Earth–Sun,1,Classical gravitation,Virial comparison ridge,1.0,149597870700.0,11.17492541204568,2.6490393746046813e+33,-5.298078749209363e+33,J,2.0
1. Planetary — Earth–Sun,1,Classical gravitation,Raw Connection allocation,1.3333333333333333,149597870700.0,11.17492541204568,2.6490393746046813e+33,-5.298078749209363e+33,J,2.0
2. Satellite — circular 7000 km reference,2,Classical gravitation,Raw Traversal allocation,0.6666666666666666,7000000.0,6.845098040014257,28471460.12857143,-56942920.25714286,J/kg,2.0
2. Satellite — circular 7000 km reference,2,Classical gravitation,Virial comparison ridge,1.0,7000000.0,6.845098040014257,28471460.12857143,-56942920.25714286,J/kg,2.0
2. Satellite — circular 7000 km reference,2,Classical gravitation,Raw Connection allocation,1.3333333333333333,7000000.0,6.845098040014257,28471460.12857143,-56942920.25714286,J/kg,2.0
3. Classical Coulomb — electron/proton at a0,3,Classical electromagnetism,Raw Traversal allocation,0.6666666666666667,5.29177210544e-11,-10.276398867334313,13.6056931229905,-27.211386245981,eV,2.0
3. Classical Coulomb — electron/proton at a0,3,Classical electromagnetism,Virial comparison ridge,1.0,5.29177210544e-11,-10.276398867334313,13.6056931229905,-27.211386245981,eV,2.0
3. Classical Coulomb — electron/proton at a0,3,Classical electromagnetism,Raw Connection allocation,1.3333333333333335,5.29177210544e-11,-10.276398867334313,13.6056931229905,-27.211386245981,eV,2.0
4. Quantum — ideal hydrogen 1s,4,Nonrelativistic quantum mechanics,Raw Traversal allocation,0.6666666666666667,5.29177210544e-11,-10.276398867334313,13.6056931229905,-27.211386245981,eV expectation value,2.0
4. Quantum — ideal hydrogen 1s,4,Nonrelativistic quantum mechanics,Virial comparison ridge,1.0,5.29177210544e-11,-10.276398867334313,13.6056931229905,-27.211386245981,eV expectation value,2.0
4. Quantum — ideal hydrogen 1s,4,Nonrelativistic quantum mechanics,Raw Connection allocation,1.3333333333333335,5.29177210544e-11,-10.276398867334313,13.6056931229905,-27.211386245981,eV expectation value,2.0
