order,law,pole_0,ridge_1,pole_2,reading_kind
1,Einstein field equation,stress-energy source T_mu_nu,coupling/conservation relation,curvature response G_mu_nu,directed source-response map; no numerical ridge claimed
2,Newton force axis,Phase-A-directed force,equal nonzero opposing forces,Phase-B-directed force,bounded signed resultant coordinate
3,Hamilton energy allocation,all potential/configuration,K=V,all kinetic/traversal,full 0-2 cycle; quadrant needed for direction
4,Virial theorem,binding/Connection C,2<T>=|<V>|,weighted Traversal R,exact weighted ridge for inverse-distance binding
5,Gauss electric,negative charge magnitude,equal positive/negative source,positive charge magnitude,signed source composition
6,Gauss magnetic,inward boundary flux,equal inward/outward flux,outward boundary flux,active closed-boundary ridge if flux activity is nonzero
7,Faraday induction,one signed magnetic-flux lobe,axis-dependent crossing/turn,opposite signed flux lobe,"four-quadrant phase-plane cycle, not one static scalar"
8,Ampere-Maxwell,conduction current,equal conduction/displacement magnitude,displacement current,source participation; retain vector phase
9,Poynting energy account,input/field accumulation,equal input/output throughput,output/field release,local energy-flow composition
10,Vacuum Maxwell wave,electric energy,u_E=u_B; active propagation,magnetic energy,equal E/B energy with perpendicular relation S
11,Lorentz force,electric force channel,equal channel magnitudes,magnetic force channel,composition only; angle/direction remains part of state
12,Quantum Bloch diameter,outcome/state A,equal A/B probability,outcome/state B,exact measurement-axis projection
13,Landau-Zener handover,bare state A,equal instantaneous bare-state mixing,bare state B,continuous avoided-crossing path
14,Quantum hydrogen virial,Coulomb binding magnitude,2<T>=|<V>|,weighted kinetic traversal,"expectation-value ridge, not a classical electron orbit"
