order,law,ara_math,physics_equation,bridge_role,map_type,status
1,Einstein field equation and covariant conservation,Directed relation appearance: Phase A/source = T_mu_nu; relation J = 8*pi*G/c^4; Phase B/response = G_mu_nu + Lambda*g_mu_nu. The exact balance spine is nabla_mu T^{mu nu}=0. No unique 0-2 opposition coordinate is assigned.,G_mu_nu + Lambda*g_mu_nu = (8*pi*G/c^4) T_mu_nu; nabla_mu T^{mu nu}=0.,Cosmic parent/source geometry,established law plus directed ARA relation,E0 equation; E1 continuity skeleton; A1 source/response reading
2,Einstein weak-field limit to Poisson and Newton,"Rung compression: metric g_mu_nu -> potential Phi -> field g=-grad(Phi) -> matter acceleration. On a declared force axis, x_F=2F_B/(F_A+F_B) and F_net=(F_A+F_B)(x_F-1).",g_00 approximately -(1+2Phi/c^2); nabla^2 Phi=4*pi*G*rho; g=-grad(Phi); m*r_ddot=m*g.,Exact weak-field rung crossing,exact established limit under declared assumptions,E0 limit; E1 exact force-coordinate reparameterisation
3,"Newton I, II and III",Newton II reads the signed distance from the force ridge: m*a_parallel=Sigma_F(x_F-1). Newton III gives an active parent ridge x_pair=1 for equal nonzero anti-directed internal forces. Newton I also allows the distinct null case Sigma_F=0.,F_net=dp/dt; for constant mass F_net=m*a; F_A<-B=-F_B<-A; F_net=0 implies p=constant.,"Directed pair, residual and enclosing parent",exact law and exact bounded force coordinate,E0 laws; E1 exact declared ARA residual identity
4,Hamilton equations and energy allocation,"For a two-account Hamiltonian, t_V=2V/H and t_K=2K/H, so t_V+t_K=2 and x_H=t_K. The harmonic oscillator traverses 0 -> 1 -> 2 -> 1 -> 0 while signed (Q,P) retains four quadrants.","H(q,p)=K(p)+V(q); q_dot=partial H/partial p; p_dot=-partial H/partial q. Harmonic case: Q^2+P^2=2H.",Canonical reformulation and full cycle,exact reformulation for the declared Hamiltonian system,E0 Hamilton mechanics; E1 exact oscillator ARA crosswalk
5,Noether theorem,The state/allocation may move while a parent physical invariant remains fixed. TE-ARA closure sum(t_c)=2 is normalization; dQ_physical/dt=0 is the separate Noether conservation statement.,time translation -> dH/dt=0; spatial translation -> dp/dt=0; rotation -> dL/dt=0.,Symmetry selects the conserved parent account,"exact theorem consequence, not a diameter value",E0 theorem; E1 invariant-versus-normalisation distinction
6,Virial theorem,"For inverse-distance binding, declare C=|<V>| and R=2<T>. Then x_vir=2R/(C+R)=1. The raw TE-ARA energy allocation remains t_T=2/3 and t_C=4/3, totaling 2.","2<T>=<r dot grad V>; for V proportional to -1/r, 2<T>=|<V>|.",Completed bound-cycle weighted ridge,exact theorem plus exact declared coordinate,E0 theorem; E1 exact 21.45-order cross-scale crosswalk
7,Gauss electric law,"With x_Q=2Q_+/(Q_++Q_-) and T_Q=Q_++Q_-, Q_net=T_Q(x_Q-1). The 1.0 point is equal signed-source cancellation while T_Q retains activity.",closed-surface integral E dot dA = Q_inside/epsilon_0; differential form div E=rho/epsilon_0.,Enclosed source to boundary flux,exact law and exact signed-pair embedding,E0 law; E1 exact ARA source-composition identity
8,Gauss magnetic law,Split nonzero closed-boundary activity into outward and inward flux magnitudes. x_B=2Phi_out/(Phi_out+Phi_in)=1 because net magnetic flux is zero. Empty activity leaves x_B undefined.,closed-surface integral B dot dA=0; differential form div B=0.,Active closed-boundary ridge,exact law and exact active-flux coordinate,E0 law; E1 exact ridge when unsigned flux is nonzero
9,Faraday induction,"The useful ARA object is the four-quadrant trajectory (Phi_B, dPhi_B/dt), not a forced static ridge. Phi_B=0 is the orientation crossing; dPhi_B/dt=0 is the accumulation/release turn.",closed-loop integral E dot dl = -dPhi_B/dt; curl E=-partial B/partial t.,Changing flux to circulating response,exact differential/integral law plus phase-plane reading,E0 law; E1 exact four-quadrant sinusoidal crosswalk
10,Ampere-Maxwell law,"Declare conduction C=|J| and displacement D=|epsilon*dE/dt|. x_D/C=2D/(C+D): 0 conduction-dominant, 1 equal participation, 2 displacement-dominant. Signed vector phase remains required.",curl B=mu_0 J + mu_0 epsilon_0 partial E/partial t.,Matter-current and field-change handover,exact law plus declared source-participation coordinate,E0 law; E1 bounded composition; vector closure retained
11,Poynting theorem and Maxwell plane-wave relation,"Energy account: x_P=2P_out/(P_in+P_out), with x_P=1 an active equal-throughput ridge. For a vacuum plane wave, x_E/B=2u_B/(u_E+u_B)=1 and S=(1/mu_0) E cross B is the oriented relational third.",partial_t u_EM + div S = -J dot E; S=(1/mu_0) E cross B; u_E=u_B for a vacuum plane wave.,"Field storage, boundary flow and oriented relation",exact conservation law and exact plane-wave crosswalk,E0 laws; E1 exact declared energy/throughput coordinates
12,Lorentz force and electromagnetic momentum balance,"Particle channel coordinate x_L=2|q v cross B|/(|qE|+|q v cross B|) must retain both directions and their angle. At parent scale, div T = partial_t g_EM + f_matter is a three-term conservation lock.",F=q(E+v cross B); f_matter=rho E+J cross B; div T=partial_t(epsilon_0 E cross B)+f_matter.,Field-to-matter handover,exact force decomposition and momentum continuity,E0 laws; E1 exact channel reconstruction; simple rung-up law failed
