video_name,frame_number,time [sec],num_contours_per_frame,ID,cx_pos [px],cy_pos [px],cx_pos [m],cy_pos [m],size [px^2],size [m^2],perimeter [px],perimeter [m],approx_diameter [px],approx_diameter [m],x_velocity [m/s],y_velocity [m/s],valve1,valve2,valve3,valve4,valve5
V14_20240418_115458_20240418_115607.avi,0,0.0,10,0,161,218,0.0839,0.1135,132339.0,0.0011631356999999998,3062.248,1.5949,410.4866,0.2138,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,1,257,917,0.1339,0.4776,7323.0,6.4362276e-05,743.9209,0.3875,96.5605,0.0503,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,2,214,511,0.1115,0.2661,4944.0,4.345326e-05,506.4996,0.2638,79.3404,0.0413,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,3,91,936,0.0474,0.4875,4843.5,4.256971199999999e-05,691.8793,0.3604,78.5298,0.0409,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,4,61,745,0.0318,0.388,4451.5,3.9124619999999996e-05,478.2569,0.2491,75.285,0.0392,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,5,114,836,0.0594,0.4354,3179.0,2.7940463999999996e-05,334.333,0.1741,63.621,0.0331,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,6,136,672,0.0708,0.35,2643.5,2.3234039999999998e-05,252.1493,0.1313,58.0156,0.0302,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,7,305,771,0.1589,0.4016,1450.0,1.2744216e-05,221.6224,0.1154,42.9674,0.0224,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,8,202,940,0.1052,0.4896,1354.0,1.1900519999999999e-05,190.7939,0.0994,41.5207,0.0216,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,0,0.0,10,9,308,837,0.1604,0.4359,1231.5,1.0823867999999999e-05,215.0366,0.112,39.5979,0.0206,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,0,154,204,0.0802,0.1062,124377.5,0.001093161744,2773.0693,1.4443,397.9477,0.2073,-0.1823,1.1198,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,10,236,456,0.1229,0.2375,9719.5,8.5425192e-05,817.7615,0.4259,111.2441,0.0579,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,1,255,904,0.1328,0.4708,9099.5,7.997615999999999e-05,756.6488,0.3941,107.6376,0.0561,-0.0521,16.849,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,5,106,817,0.0552,0.4255,5145.5,4.522424399999999e-05,484.7422,0.2525,80.9411,0.0422,-0.2083,18.3073,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,4,56,734,0.0292,0.3823,2901.5,2.5501391999999998e-05,488.7422,0.2546,60.7808,0.0317,-0.1302,17.526,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,6,151,652,0.0786,0.3396,2272.5,1.9973303999999998e-05,340.7178,0.1775,53.7907,0.028,0.3906,13.4375,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,8,190,930,0.099,0.4844,1816.5,1.5965423999999997e-05,232.6934,0.1212,48.092,0.025,-0.3125,18.9583,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,11,51,960,0.0266,0.5,1703.0,1.4967828e-05,228.1076,0.1188,46.5653,0.0243,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,9,311,828,0.162,0.4313,1445.5,1.2704688e-05,251.664,0.1311,42.9007,0.0223,0.0781,13.5417,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,1,0.02,10,12,19,643,0.0099,0.3349,1390.0,1.2216744e-05,156.8528,0.0817,42.069,0.0219,0.0,0.0,35.7,48.3,56.0,48.3,35.7
V14_20240418_115458_20240418_115607.avi,2,0.04,10,0,151,190,0.0786,0.099,117451.5,0.001032288624,2395.5647,1.2477,386.7091,0.2014,-0.0781,0.9375,35.7,48.3,56.0,48.3,35.7
