video_name,frame_number,time [sec],num_contours_per_frame,ID,cx_pos [px],cy_pos [px],cx_pos [m],cy_pos [m],size [px^2],size [m^2],perimeter [px],perimeter [m],approx_diameter [px],approx_diameter [m],x_velocity [m/s],y_velocity [m/s],valve1,valve2,valve3,valve4,valve5
V02_20240418_105534_20240418_105709.avi,0,0.0,5,0,147,615,0.0766,0.3203,6280.5,5.519955599999999e-05,435.9726,0.2271,89.4236,0.0466,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,0,0.0,5,1,103,859,0.0536,0.4474,3532.5,3.10473e-05,388.1737,0.2022,67.065,0.0349,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,0,0.0,5,2,294,858,0.1531,0.4469,3440.5,3.0238919999999994e-05,286.8356,0.1494,66.186,0.0345,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,0,0.0,5,3,78,942,0.0406,0.4906,711.0,6.2489879999999995e-06,125.5391,0.0654,30.0878,0.0157,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,0,0.0,5,4,216,858,0.1125,0.4469,574.0,5.045004e-06,100.5685,0.0524,27.034,0.0141,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,1,0.02,4,0,144,604,0.075,0.3146,6332.0,5.565218399999999e-05,354.4752,0.1846,89.7895,0.0468,-0.0781,11.901,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,1,0.02,4,2,287,850,0.1495,0.4427,4172.5,3.6672264e-05,331.9483,0.1729,72.8875,0.038,-0.1823,14.4792,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,1,0.02,4,1,114,852,0.0594,0.4437,3483.5,3.0616704e-05,304.7767,0.1587,66.5983,0.0347,0.2865,19.5052,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,1,0.02,4,3,86,938,0.0448,0.4885,868.5,7.63344e-06,143.0955,0.0745,33.2537,0.0173,0.2083,22.3958,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,2,0.04,4,2,284,847,0.1479,0.4411,3965.5,3.4853004e-05,357.7473,0.1863,71.0565,0.037,-0.0781,14.5833,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,2,0.04,4,1,111,848,0.0578,0.4417,3641.5,3.2005367999999996e-05,376.3747,0.196,68.0919,0.0355,-0.0781,19.1146,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,2,0.04,4,3,85,933,0.0443,0.4859,1168.5,1.0270151999999999e-05,193.3797,0.1007,38.5718,0.0201,-0.026,22.0573,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,2,0.04,4,5,312,974,0.1625,0.5073,542.5,4.7679839999999995e-06,114.468,0.0596,26.2818,0.0137,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,3,0.06,4,2,278,842,0.1448,0.4385,4014.5,3.5283599999999995e-05,370.2325,0.1928,71.4942,0.0372,-0.1562,14.5313,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,3,0.06,4,1,111,844,0.0578,0.4396,3534.5,3.1064796e-05,352.2325,0.1835,67.084,0.0349,0.0,19.0885,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,3,0.06,4,3,95,928,0.0495,0.4833,990.5,8.705555999999998e-06,150.267,0.0783,35.5126,0.0185,0.2604,21.9531,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,3,0.06,4,6,269,948,0.1401,0.4938,620.5,5.453567999999999e-06,115.2965,0.0601,28.1077,0.0146,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,4,0.08,4,2,269,835,0.1401,0.4349,4675.5,4.1093243999999995e-05,482.1148,0.2511,77.1559,0.0402,-0.2344,14.5052,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,4,0.08,4,1,120,837,0.0625,0.4359,3606.0,3.1693356000000004e-05,390.7594,0.2035,67.7591,0.0353,0.2344,18.9062,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,4,0.08,4,6,256,946,0.1333,0.4927,1086.0,9.54504e-06,182.6518,0.0951,37.1852,0.0194,-0.3385,17.6302,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,4,0.08,4,3,99,923,0.0516,0.4807,1007.5,8.854919999999999e-06,147.4386,0.0768,35.816,0.0187,0.1042,21.5625,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,5,0.1,5,2,262,830,0.1365,0.4323,4326.0,3.8021399999999995e-05,442.4163,0.2304,74.2161,0.0387,-0.1823,14.6094,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,5,0.1,5,1,126,830,0.0656,0.4323,3628.5,3.1890996e-05,442.8011,0.2306,67.9702,0.0354,0.1562,18.4896,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,5,0.1,5,3,104,918,0.0542,0.4781,1071.0,9.413172e-06,160.1665,0.0834,36.9275,0.0192,0.1302,21.3281,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,5,0.1,5,6,270,942,0.1406,0.4906,728.0,6.398352e-06,125.196,0.0652,30.4453,0.0159,0.3646,17.8646,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,5,0.1,5,7,21,936,0.0109,0.4875,596.0,5.238432e-06,134.2254,0.0699,27.5472,0.0143,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,6,0.12,5,2,257,826,0.1339,0.4302,3821.0,3.3582924e-05,372.9605,0.1943,69.7499,0.0363,-0.1302,14.6875,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,6,0.12,5,1,141,824,0.0734,0.4292,2644.0,2.3238252e-05,232.9361,0.1213,58.0211,0.0302,0.3906,18.1771,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,6,0.12,5,3,108,915,0.0563,0.4766,1414.0,1.2427667999999999e-05,177.4802,0.0924,42.4307,0.0221,0.1042,21.1198,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,6,0.12,5,6,263,938,0.137,0.4885,1337.5,1.1755368e-05,195.7229,0.1019,41.2669,0.0215,-0.1823,17.3958,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,6,0.12,5,7,34,924,0.0177,0.4813,507.5,4.460507999999999e-06,107.6396,0.0561,25.4199,0.0132,0.3385,23.5156,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,7,0.14,5,8,202,818,0.1052,0.426,6938.0,6.097842e-05,689.7788,0.3593,93.988,0.049,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,7,0.14,5,3,116,912,0.0604,0.475,1621.0,1.4246927999999999e-05,261.2203,0.1361,45.4304,0.0237,0.2083,20.9375,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,7,0.14,5,6,252,935,0.1313,0.487,1500.0,1.318356e-05,188.3087,0.0981,43.7019,0.0228,-0.2865,17.5,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,7,0.14,5,9,67,824,0.0349,0.4292,1084.5,9.531755999999999e-06,186.066,0.0969,37.1595,0.0194,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,7,0.14,5,7,34,923,0.0177,0.4807,590.5,5.189832e-06,128.9533,0.0672,27.4198,0.0143,0.0,23.151,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,8,0.16,3,8,195,810,0.1016,0.4219,8271.5,7.269879599999999e-05,881.9869,0.4594,102.6236,0.0534,-0.1823,15.8333,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,8,0.16,3,6,253,932,0.1318,0.4854,1872.0,1.6453044e-05,245.9066,0.1281,48.8211,0.0254,0.026,17.7083,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,8,0.16,3,3,113,906,0.0589,0.4719,1224.0,1.0757771999999999e-05,209.6224,0.1092,39.4771,0.0206,-0.0781,20.5729,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,9,0.18,4,8,204,805,0.1062,0.4193,9229.5,8.1118584e-05,733.8204,0.3822,108.4037,0.0565,0.2344,15.8854,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,9,0.18,4,6,251,927,0.1307,0.4828,1881.5,1.6536636e-05,224.6934,0.117,48.9449,0.0255,-0.0521,17.5521,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,9,0.18,4,3,116,902,0.0604,0.4698,1727.0,1.5178751999999998e-05,226.5929,0.118,46.8923,0.0244,0.0781,20.5469,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,9,0.18,4,7,46,911,0.024,0.4745,597.0,5.24718e-06,127.196,0.0662,27.5703,0.0144,0.0,0.0,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,10,0.2,5,8,208,799,0.1083,0.4161,9354.5,8.221726799999999e-05,648.4234,0.3377,109.1353,0.0568,0.1042,15.4948,16.0,16.0,16.0,16.0,16.0
V02_20240418_105534_20240418_105709.avi,10,0.2,5,6,247,923,0.1286,0.4807,1977.0,1.737612e-05,245.0782,0.1276,50.1717,0.0261,-0.1042,17.5,16.0,16.0,16.0,16.0,16.0
