replicate,rho
0,0.44360902255639095
1,-0.39849624060150374
2,-0.08421052631578946
3,0.3112781954887218
4,0.16541353383458646
5,0.26015037593984963
6,0.6736842105263158
7,0.01203007518796989
8,0.14285714285714285
9,0.0962406015037594
10,-0.03308270676691728
11,-0.040601503759398506
12,-0.19097744360902252
13,0.07969924812030073
14,0.2676691729323307
15,-0.07969924812030073
16,-0.12481203007518794
17,0.0842105263157895
18,0.31127819548872177
19,-0.48120300751879697
20,0.07368421052631582
21,-0.1308270676691729
22,0.0075187969924812165
23,0.18796992481203004
24,0.2526315789473684
25,0.3383458646616541
26,0.06165413533834592
27,-0.018045112781954906
28,-0.07218045112781954
29,0.11278195488721801
30,-0.17593984962406015
31,-0.5383458646616542
32,-0.0015037593984962294
33,-0.1954887218045113
34,-0.2015037593984962
35,0.1067669172932331
36,0.004511278195488728
37,-0.1593984962406015
38,-0.38496240601503756
39,-0.2045112781954887
40,-0.05714285714285716
41,-0.3022556390977444
42,0.10977443609022555
43,-0.10225563909774435
44,0.18796992481203006
45,-0.006015037593984925
46,0.26766917293233083
47,-0.09774436090225558
48,-0.009022556390977446
49,-0.16090225563909777
50,-0.18947368421052635
51,0.054135338345864696
52,0.47669172932330817
53,0.02706766917293229
54,-0.2150375939849624
55,0.281203007518797
56,0.1578947368421052
57,-0.21804511278195493
58,0.04060150375939854
59,-0.2902255639097745
60,-0.4571428571428571
61,0.24360902255639094
62,0.024060150375939844
63,-0.04511278195488722
64,0.04511278195488723
65,-0.24060150375939854
66,0.20451127819548864
67,0.26917293233082706
68,-0.11278195488721798
69,-0.26917293233082706
70,-0.1172932330827068
71,0.21654135338345865
72,-0.22857142857142856
73,-0.2345864661654135
74,-0.12781954887218042
75,-0.012030075187969905
76,0.23609022556390974
77,-0.17593984962406015
78,-0.07067669172932334
79,-0.281203007518797
80,0.1263157894736842
81,0.13684210526315788
82,-0.3007518796992481
83,0.1037593984962406
84,-0.19097744360902258
85,-0.0917293233082707
86,0.3654135338345864
87,-0.025563909774436067
88,-0.4691729323308271
89,0.07218045112781954
90,0.1714285714285714
91,-0.081203007518797
92,-0.3037593984962407
93,0.2210526315789474
94,0.2917293233082706
95,-0.11278195488721805
96,-0.24511278195488723
97,-0.25563909774436094
98,-0.19248120300751878
99,-0.16240601503759397
100,-0.22857142857142854
101,-0.4105263157894737
102,0.08872180451127815
103,-0.025563909774436115
104,-0.06616541353383454
105,0.03759398496240604
106,-0.1669172932330827
107,0.24210526315789468
108,-0.06315789473684212
109,-0.06766917293233085
110,-0.12631578947368416
111,-0.2706766917293233
112,-0.40150375939849625
113,0.3142857142857143
114,-0.22406015037593977
