artifact,preclassified_object,evidence_level,three_eighths_result,phi_result,audit_status
T302 phyllotaxis,local placement and cumulative carrier,1,"best fixed one-step candidate","best fixed cumulative candidate","direct support in one system"
T301 pendulum breathing,local closed recurrence,1,"lost to recurrence","lost to recurrence","not exact 3/8; supports non-Phi closure"
T300 four-child recurrence,parent-locked local cycle,1,"lost to quarters and recurrence","lost to quarters and recurrence","not exact 3/8; rational closure"
Q24 ARA9 Bell lattice,connected 3x3 tensor,2,"no 3/8 coordinate; 3 retained of 9 equals 1/3","Bell Phi labels are not golden ratio","not testable"
Q26 ARA9 trajectory,moving closure trajectory,2,"not compared","not compared","not testable"
Q28 ARA9 transport,binary rotational transport,2,"not compared","not compared","structural only; 0/180 flip and lag 2"
Q29 ARA9 surfer,transient signed residual route,2,"not compared","not compared","no stable carrier"
Q32 edge-child handover,hybrid source-child transition,2,"not predeclared","not predeclared","ineligible for directional pass"
Q39 fourth quadrant,hybrid quadrant circulation,2,"not compared","not compared","structural only"
Q43 handover timing,moving forward-return path,1,"slightly lower temporal tension than Phi but not optimum","failed frozen specificity gate","adverse to universal motion rule"
PN35-PN36 prime conversion,connection-heavy wheel/sieve,1,"not established","not supported","supports not-Phi only"
PN37 prime children,connection-heavy factor-child field,1,"not directly compared","not distinctive","no exact duality evidence"
PN41 prime thalweg,local survivor handover,1,"not directly compared","lost to 1/3","rational local closure not exact 3/8"
Golden Stars,mode-ratio class association,2,"not compared","within-club gradient sign interpreted backwards","exact-Phi proximity claim withdrawn"
Phi-rung entropy decay,hybrid horizon-decay measurement,2,"0.382 shedding only ENSO short anchors","exact split non-universal","mixed and anchor-dependent"
Hexagon-Pentagon angle,structural lock-angle dial,1,"not compared","dial not supported","negative"
Camshaft Phi,mechanical analogy,3,"not compared","provenance not established","analogy only"
