anchor,event_index,gate,old_candidate,old_delta,new_candidate,new_delta,candidate_shift,lower_child_after_gate,lower_delta_after_gate,upper_child_after_gate,gates_crossed_this_event,silent_gates_before_event,processed_nonbase_gate_count,cohort
4000560153,4,193,4000560163,10,4000560167,14,4,4000560149,4,4000560167,38,37,42,sample
4000560153,5,9623,4000560167,14,4000560197,44,30,4000560149,4,4000560197,1144,1143,1186,sample
4000560835,1,11,4000560839,4,4000560841,6,2,4000560833,2,4000560841,3,2,3,sample
4000560941,1,31,4000560943,2,4000560947,6,4,4000560937,4,4000560947,9,8,9,sample
4000560941,2,89,4000560947,6,4000560961,20,14,4000560931,10,4000560961,13,12,22,sample
4000562582,1,3,4000562583,1,4000562585,3,2,4000562581,1,4000562585,1,0,1,sample
4000562582,2,5,4000562585,3,4000562591,9,6,4000562581,1,4000562591,1,0,2,sample
4000562582,3,47,4000562591,9,4000562593,11,2,4000562567,15,4000562593,11,10,13,sample
4000562879,1,3,4000562883,4,4000562885,6,2,4000562879,0,4000562885,1,0,1,sample
4000562879,2,5,4000562885,6,4000562887,8,2,4000562879,0,4000562887,1,0,2,sample
4000563342,1,3,4000563345,3,4000563347,5,2,4000563341,1,4000563347,1,0,1,sample
4000563342,2,11,4000563347,5,4000563349,7,2,4000563341,1,4000563349,2,1,3,sample
4000563342,3,1109,4000563349,7,4000563353,11,4,4000563341,1,4000563353,181,180,184,sample
4000563342,4,19553,4000563353,11,4000563389,47,36,4000563319,23,4000563389,2032,2031,2216,sample
4000563637,1,3,4000563639,2,4000563641,4,2,4000563635,2,4000563641,1,0,1,sample
4000563637,2,17,4000563641,4,4000563643,6,2,4000563631,6,4000563643,4,3,5,sample
4000563637,3,41,4000563643,6,4000563647,10,4,4000563631,6,4000563647,6,5,11,sample
4000563637,4,1373,4000563647,10,4000563653,16,6,4000563631,6,4000563653,207,206,218,sample
4000563637,5,8933,4000563653,16,4000563661,24,8,4000563631,6,4000563661,891,890,1109,sample
4000563682,1,379,4000563683,1,4000563689,7,6,4000563667,15,4000563689,73,72,73,sample
4000563682,2,641,4000563689,7,4000563701,19,12,4000563667,15,4000563701,41,40,114,sample
4000563682,3,22159,4000563701,19,4000563703,21,2,4000563667,15,4000563703,2370,2369,2484,sample
4000564103,1,5,4000564105,2,4000564109,6,4,4000564103,0,4000564109,2,1,2,sample
4000564492,1,7187,4000564493,1,4000564499,7,6,4000564487,5,4000564499,916,915,916,sample
4000564492,2,42509,4000564499,7,4000564511,19,12,4000564487,5,4000564511,3530,3529,4446,sample
4000564841,1,11,4000564843,2,4000564847,6,4,4000564837,4,4000564847,3,2,3,sample
4000564841,2,47,4000564847,6,4000564853,12,6,4000564837,4,4000564853,10,9,13,sample
4000564841,3,101,4000564853,12,4000564859,18,6,4000564837,4,4000564859,11,10,24,sample
4000564841,4,199,4000564859,18,4000564861,20,2,4000564837,4,4000564861,20,19,44,sample
4000565377,1,3,4000565379,2,4000565381,4,2,4000565377,0,4000565381,1,0,1,sample
4000565377,2,491,4000565381,4,4000565383,6,2,4000565363,14,4000565383,91,90,92,sample
4000565377,3,2713,4000565383,6,4000565419,42,36,4000565357,20,4000565419,302,301,394,sample
4000565797,1,3,4000565799,2,4000565801,4,2,4000565797,0,4000565801,1,0,1,sample
4000565813,1,5,4000565815,2,4000565819,6,4,4000565813,0,4000565819,2,1,2,sample
4000565813,2,1759,4000565819,6,4000565839,26,20,4000565801,12,4000565839,270,269,272,sample
4000565813,3,6779,4000565839,26,4000565869,56,30,4000565801,12,4000565869,598,597,870,sample
4000566205,1,3,4000566207,2,4000566209,4,2,4000566205,0,4000566209,1,0,1,sample
4000566444,1,5,4000566445,1,4000566449,5,4,4000566443,1,4000566449,2,1,2,sample
4000566444,2,11,4000566449,5,4000566457,13,8,4000566443,1,4000566457,1,0,3,sample
4000566634,1,5,4000566635,1,4000566637,3,2,4000566631,3,4000566637,2,1,2,sample
4000566634,2,389,4000566637,3,4000566649,15,12,4000566631,3,4000566649,73,72,75,sample
4000566827,1,3,4000566831,4,4000566833,6,2,4000566827,0,4000566833,1,0,1,sample
4000566827,2,31,4000566833,6,4000566839,12,6,4000566827,0,4000566839,8,7,9,sample
4000566827,3,5581,4000566839,12,4000566853,26,14,4000566827,0,4000566853,726,725,735,sample
4000566827,4,21383,4000566853,26,4000566863,36,10,4000566827,0,4000566863,1663,1662,2398,sample
4000566944,1,3,4000566945,1,4000566947,3,2,4000566943,1,4000566947,1,0,1,sample
4000566944,2,13,4000566947,3,4000566949,5,2,4000566943,1,4000566949,3,2,4,sample
4000566944,3,131,4000566949,5,4000566953,9,4,4000566943,1,4000566953,26,25,30,sample
4000566944,4,1429,4000566953,9,4000566959,15,6,4000566937,7,4000566959,194,193,224,sample
4000566971,1,13,4000566973,2,4000566979,8,6,4000566971,0,4000566979,4,3,4,sample
4000567579,1,3,4000567581,2,4000567583,4,2,4000567579,0,4000567583,1,0,1,sample
4000567579,2,23,4000567583,4,4000567589,10,6,4000567579,0,4000567589,6,5,7,sample
4000567579,3,113,4000567589,10,4000567601,22,12,4000567567,12,4000567601,21,20,28,sample
4000567579,4,21587,4000567601,22,4000567607,28,6,4000567567,12,4000567607,2393,2392,2421,sample
4000567830,1,13,4000567831,1,4000567841,11,10,4000567829,1,4000567841,4,3,4,sample
4000567830,2,57923,4000567841,11,4000567867,37,26,4000567811,19,4000567867,5862,5861,5866,sample
4000568666,1,3,4000568667,1,4000568669,3,2,4000568665,1,4000568669,1,0,1,sample
4000568666,2,827,4000568669,3,4000568681,15,12,4000568657,9,4000568681,141,140,142,sample
4000568666,3,1583,4000568681,15,4000568699,33,18,4000568657,9,4000568699,106,105,248,sample
4000568666,4,49633,4000568699,33,4000568711,45,12,4000568633,33,4000568711,4848,4847,5096,sample
4000569604,1,5,4000569605,1,4000569607,3,2,4000569599,5,4000569607,2,1,2,sample
4000569604,2,23,4000569607,3,4000569611,7,4,4000569593,11,4000569611,5,4,7,sample
4000569604,3,37,4000569611,7,4000569613,9,2,4000569593,11,4000569613,3,2,10,sample
4000570523,1,3,4000570527,4,4000570529,6,2,4000570523,0,4000570529,1,0,1,sample
4000570523,2,809,4000570529,6,4000570547,24,18,4000570523,0,4000570547,137,136,138,sample
4000570523,3,8231,4000570547,24,4000570549,26,2,4000570523,0,4000570549,892,891,1030,sample
4000571111,1,3,4000571115,4,4000571117,6,2,4000571111,0,4000571117,1,0,1,sample
4000571111,2,479,4000571117,6,4000571119,8,2,4000571101,10,4000571119,89,88,90,sample
4000571418,1,13,4000571419,1,4000571423,5,4,4000571417,1,4000571423,4,3,4,sample
4000571418,2,6899,4000571423,5,4000571437,19,14,4000571417,1,4000571437,881,880,885,sample
4000571441,1,11,4000571443,2,4000571447,6,4,4000571441,0,4000571447,3,2,3,sample
4000571441,2,23,4000571447,6,4000571453,12,6,4000571441,0,4000571453,4,3,7,sample
4000571441,3,14323,4000571453,12,4000571459,18,6,4000571437,4,4000571459,1671,1670,1678,sample
4000571447,1,3,4000571451,4,4000571453,6,2,4000571447,0,4000571453,1,0,1,sample
4000571447,2,14323,4000571453,6,4000571459,12,6,4000571437,10,4000571459,1677,1676,1678,sample
4000572112,1,19,4000572113,1,4000572119,7,6,4000572109,3,4000572119,6,5,6,sample
4000572112,2,4211,4000572119,7,4000572131,19,12,4000572101,11,4000572131,568,567,574,sample
4000572399,1,79,4000572403,4,4000572409,10,6,4000572397,2,4000572409,20,19,20,sample
4000572399,2,227,4000572409,10,4000572419,20,10,4000572397,2,4000572419,27,26,47,sample
4000573538,1,3,4000573539,1,4000573541,3,2,4000573537,1,4000573541,1,0,1,sample
4000573712,1,3,4000573713,1,4000573715,3,2,4000573711,1,4000573715,1,0,1,sample
4000573712,2,5,4000573715,3,4000573721,9,6,4000573711,1,4000573721,1,0,2,sample
4000574396,1,3,4000574397,1,4000574399,3,2,4000574395,1,4000574399,1,0,1,sample
4000574600,1,3,4000574601,1,4000574603,3,2,4000574597,3,4000574603,1,0,1,sample
4000574773,1,3,4000574775,2,4000574777,4,2,4000574773,0,4000574777,1,0,1,sample
4000575595,1,3,4000575597,2,4000575599,4,2,4000575595,0,4000575599,1,0,1,sample
4000575595,2,107,4000575599,4,4000575611,16,12,4000575589,6,4000575611,25,24,26,sample
4000576334,1,43,4000576337,3,4000576339,5,2,4000576313,21,4000576339,12,11,12,sample
4000576334,2,269,4000576339,5,4000576343,9,4,4000576313,21,4000576343,43,42,55,sample
4000576801,1,3,4000576803,2,4000576805,4,2,4000576801,0,4000576805,1,0,1,sample
4000576801,2,5,4000576805,4,4000576807,6,2,4000576801,0,4000576807,1,0,2,sample
4000577767,1,3,4000577769,2,4000577771,4,2,4000577767,0,4000577771,1,0,1,sample
4000577767,2,173,4000577771,4,4000577773,6,2,4000577767,0,4000577773,37,36,38,sample
4000577767,3,431,4000577773,6,4000577797,30,24,4000577767,0,4000577797,43,42,81,sample
4000579211,1,17,4000579213,2,4000579217,6,4,4000579211,0,4000579217,5,4,5,sample
4000579211,2,757,4000579217,6,4000579241,30,24,4000579211,0,4000579241,127,126,132,sample
4000579344,1,3,4000579347,3,4000579349,5,2,4000579343,1,4000579349,1,0,1,sample
4000579344,2,13,4000579349,5,4000579351,7,2,4000579343,1,4000579351,3,2,4,sample
4000579371,1,5,4000579375,4,4000579379,8,4,4000579369,2,4000579379,2,1,2,sample
4000579371,2,37,4000579379,8,4000579381,10,2,4000579369,2,4000579381,8,7,10,sample
4000579725,1,23,4000579727,2,4000579729,4,2,4000579721,4,4000579729,7,6,7,sample
4000579725,2,31,4000579729,4,4000579733,8,4,4000579721,4,4000579733,2,1,9,sample
4000580880,1,11,4000580881,1,4000580887,7,6,4000580879,1,4000580887,3,2,3,sample
4000580880,2,911,4000580887,7,4000580897,17,10,4000580869,11,4000580897,151,150,154,sample
4000581105,1,23,4000581107,2,4000581113,8,6,4000581103,2,4000581113,7,6,7,sample
4000581105,2,73,4000581113,8,4000581121,16,8,4000581103,2,4000581121,12,11,19,sample
4000581105,3,4817,4000581121,16,4000581127,22,6,4000581077,28,4000581127,628,627,647,sample
4000581105,4,21169,4000581127,22,4000581131,26,4,4000581077,28,4000581131,1731,1730,2378,sample
4000581859,1,3,4000581861,2,4000581863,4,2,4000581859,0,4000581863,1,0,1,sample
4000581859,2,12893,4000581863,4,4000581869,10,6,4000581857,2,4000581869,1531,1530,1532,sample
4000581859,3,13711,4000581869,10,4000581911,52,42,4000581857,2,4000581911,88,87,1620,sample
4000581946,1,50909,4000581947,1,4000581953,7,6,4000581941,5,4000581953,5212,5211,5212,sample
4000582755,1,821,4000582757,2,4000582771,16,14,4000582723,32,4000582771,140,139,140,sample
4000582798,1,29,4000582799,1,4000582801,3,2,4000582793,5,4000582801,8,7,8,sample
4000582798,2,47,4000582801,3,4000582811,13,10,4000582793,5,4000582811,5,4,13,sample
4000583274,1,5,4000583275,1,4000583281,7,6,4000583273,1,4000583281,2,1,2,sample
4000583274,2,613,4000583281,7,4000583287,13,6,4000583273,1,4000583287,108,107,110,sample
4000583274,3,32573,4000583287,13,4000583297,23,10,4000583267,7,4000583297,3384,3383,3494,sample
4000583933,1,5,4000583935,2,4000583939,6,4,4000583933,0,4000583939,2,1,2,sample
4000583933,2,11,4000583939,6,4000583941,8,2,4000583933,0,4000583941,1,0,3,sample
4000583933,3,457,4000583941,8,4000583957,24,16,4000583933,0,4000583957,83,82,86,sample
4000584008,1,3,4000584009,1,4000584011,3,2,4000584005,3,4000584011,1,0,1,sample
4000584008,2,409,4000584011,3,4000584013,5,2,4000583989,19,4000584013,77,76,78,sample
4000584239,1,131,4000584241,2,4000584251,12,10,4000584239,0,4000584251,30,29,30,sample
4000584432,1,239,4000584433,1,4000584439,7,6,4000584431,1,4000584439,50,49,50,sample
4000584432,2,7901,4000584439,7,4000584451,19,12,4000584431,1,4000584451,946,945,996,sample
4000584887,1,3,4000584891,4,4000584893,6,2,4000584887,0,4000584893,1,0,1,sample
4000584887,2,983,4000584893,6,4000584901,14,8,4000584883,4,4000584901,163,162,164,sample
4000585108,1,19,4000585109,1,4000585111,3,2,4000585103,5,4000585111,6,5,6,sample
4000585108,2,37643,4000585111,3,4000585117,9,6,4000585097,11,4000585117,3979,3978,3985,sample
4000585423,1,3,4000585425,2,4000585427,4,2,4000585423,0,4000585427,1,0,1,sample
4000585423,2,617,4000585427,4,4000585429,6,2,4000585423,0,4000585429,110,109,111,sample
4000585423,3,11953,4000585429,6,4000585439,16,10,4000585423,0,4000585439,1320,1319,1431,sample
4000586060,1,3,4000586061,1,4000586063,3,2,4000586059,1,4000586063,1,0,1,sample
4000586060,2,101,4000586063,3,4000586069,9,6,4000586041,19,4000586069,23,22,24,sample
4000587008,1,3,4000587009,1,4000587011,3,2,4000587007,1,4000587011,1,0,1,sample
4000587008,2,61687,4000587011,3,4000587061,53,50,4000587007,1,4000587061,6205,6204,6206,sample
4000587382,1,13,4000587383,1,4000587389,7,6,4000587379,3,4000587389,4,3,4,sample
4000587382,2,19,4000587389,7,4000587391,9,2,4000587379,3,4000587391,2,1,6,sample
4000587382,3,73,4000587391,9,4000587397,15,6,4000587379,3,4000587397,13,12,19,sample
4000587382,4,2957,4000587397,15,4000587401,19,4,4000587377,5,4000587401,405,404,424,sample
4000587382,5,4729,4000587401,19,4000587449,67,48,4000587377,5,4000587449,212,211,636,sample
4000587382,6,5503,4000587449,67,4000587473,91,24,4000587377,5,4000587473,89,88,725,sample
4000587572,1,3,4000587573,1,4000587575,3,2,4000587571,1,4000587575,1,0,1,sample
4000587572,2,5,4000587575,3,4000587581,9,6,4000587571,1,4000587581,1,0,2,sample
4000587572,3,12653,4000587581,9,4000587589,17,8,4000587551,21,4000587589,1508,1507,1510,sample
4000587942,1,11,4000587943,1,4000587947,5,4,4000587937,5,4000587947,3,2,3,sample
4000587942,2,43,4000587947,5,4000587949,7,2,4000587937,5,4000587949,9,8,12,sample
4000587942,3,61,4000587949,7,4000587953,11,4,4000587937,5,4000587953,4,3,16,sample
4000587942,4,1229,4000587953,11,4000587973,31,20,4000587937,5,4000587973,183,182,199,sample
4000587942,5,12919,4000587973,31,4000587979,37,6,4000587931,11,4000587979,1338,1337,1537,sample
4000587951,1,1229,4000587953,2,4000587973,22,20,4000587937,14,4000587973,199,198,199,sample
4000587951,2,12919,4000587973,22,4000587979,28,6,4000587931,20,4000587979,1338,1337,1537,sample
4000588587,1,3967,4000588589,2,4000588591,4,2,4000588577,10,4000588591,547,546,547,sample
4000590316,1,89,4000590317,1,4000590323,7,6,4000590313,3,4000590323,22,21,22,sample
4000590316,2,1069,4000590323,7,4000590343,27,20,4000590313,3,4000590343,156,155,178,sample
4000592155,1,3,4000592157,2,4000592159,4,2,4000592153,2,4000592159,1,0,1,sample
4000592266,1,17,4000592269,3,4000592273,7,4,4000592263,3,4000592273,5,4,5,sample
4000592557,1,3,4000592559,2,4000592563,6,4,4000592557,0,4000592563,1,0,1,sample
4000592557,2,11,4000592563,6,4000592567,10,4,4000592557,0,4000592567,2,1,3,sample
4000592643,1,73,4000592647,4,4000592657,14,10,4000592641,2,4000592657,19,18,19,sample
4000592643,2,3463,4000592657,14,4000592663,20,6,4000592639,4,4000592663,464,463,483,sample
4000593091,1,5,4000593095,4,4000593097,6,2,4000593091,0,4000593097,2,1,2,sample
4000593115,1,3,4000593117,2,4000593119,4,2,4000593115,0,4000593119,1,0,1,sample
4000593115,2,17,4000593119,4,4000593127,12,8,4000593109,6,4000593127,4,3,5,sample
4000593115,3,19,4000593127,12,4000593131,16,4,4000593109,6,4000593131,1,0,6,sample
4000593115,4,229,4000593131,16,4000593137,22,6,4000593109,6,4000593137,42,41,48,sample
4000593141,1,37,4000593143,2,4000593151,10,8,4000593139,2,4000593151,10,9,10,sample
4000593141,2,479,4000593151,10,4000593161,20,10,4000593139,2,4000593161,80,79,90,sample
4000593141,3,601,4000593161,20,4000593167,26,6,4000593139,2,4000593167,18,17,108,sample
4000593141,4,4243,4000593167,26,4000593169,28,2,4000593139,2,4000593169,472,471,580,sample
4000593141,5,33343,4000593169,28,4000593197,56,28,4000593139,2,4000593197,2988,2987,3568,sample
4000593172,1,1753,4000593173,1,4000593197,25,24,4000593169,3,4000593197,271,270,271,sample
4000593492,1,13,4000593493,1,4000593497,5,4,4000593491,1,4000593497,4,3,4,sample
4000593492,2,461,4000593497,5,4000593503,11,6,4000593479,13,4000593503,83,82,87,sample
4000593492,3,2029,4000593503,11,4000593511,19,8,4000593473,19,4000593511,219,218,306,sample
4000593856,1,13,4000593857,1,4000593859,3,2,4000593853,3,4000593859,4,3,4,sample
4000593856,2,53,4000593859,3,4000593869,13,10,4000593853,3,4000593869,10,9,14,sample
4000593856,3,271,4000593869,13,4000593899,43,30,4000593847,9,4000593899,42,41,56,sample
4000593856,4,12703,4000593899,43,4000593911,55,12,4000593823,33,4000593911,1459,1458,1515,sample
4000594463,1,3,4000594467,4,4000594469,6,2,4000594463,0,4000594469,1,0,1,sample
4000594463,2,103,4000594469,6,4000594487,24,18,4000594463,0,4000594487,24,23,25,sample
4000594463,3,727,4000594487,24,4000594489,26,2,4000594463,0,4000594489,102,101,127,sample
4000594500,1,26839,4000594501,1,4000594519,19,18,4000594489,11,4000594519,2942,2941,2942,sample
4000594918,1,31,4000594919,1,4000594931,13,12,4000594909,9,4000594931,9,8,9,sample
4000595017,1,3,4000595019,2,4000595021,4,2,4000595017,0,4000595021,1,0,1,sample
4000595017,2,47,4000595021,4,4000595029,12,8,4000595017,0,4000595029,12,11,13,sample
4000595017,3,157,4000595029,12,4000595033,16,4,4000595017,0,4000595033,22,21,35,sample
4000595017,4,197,4000595033,16,4000595041,24,8,4000595017,0,4000595041,8,7,43,sample
4000595017,5,61651,4000595041,24,4000595051,34,10,4000595009,8,4000595051,6158,6157,6201,sample
4000595362,1,17,4000595363,1,4000595369,7,6,4000595359,3,4000595369,5,4,5,sample
4000595362,2,19,4000595369,7,4000595371,9,2,4000595359,3,4000595371,1,0,6,sample
4000595362,3,33937,4000595371,9,4000595399,37,28,4000595351,11,4000595399,3626,3625,3632,sample
4000595362,4,44501,4000595399,37,4000595419,57,20,4000595311,51,4000595419,991,990,4623,sample
4000596503,1,5,4000596505,2,4000596511,8,6,4000596503,0,4000596511,2,1,2,sample
4000596503,2,97,4000596511,8,4000596521,18,10,4000596503,0,4000596521,21,20,23,sample
4000596839,1,31,4000596841,2,4000596857,18,16,4000596833,6,4000596857,9,8,9,sample
4000596839,2,163,4000596857,18,4000596863,24,6,4000596833,6,4000596863,27,26,36,sample
4000596893,1,5,4000596895,2,4000596899,6,4,4000596893,0,4000596899,2,1,2,sample
4000596893,2,13,4000596899,6,4000596907,14,8,4000596893,0,4000596907,2,1,4,sample
4000596893,3,1319,4000596907,14,4000596911,18,4,4000596877,16,4000596911,209,208,213,sample
4000597244,1,3,4000597245,1,4000597247,3,2,4000597243,1,4000597247,1,0,1,sample
4000597244,2,59,4000597247,3,4000597259,15,12,4000597243,1,4000597259,14,13,15,sample
4000597244,3,89,4000597259,15,4000597273,29,14,4000597243,1,4000597273,7,6,22,sample
4000597394,1,3,4000597395,1,4000597397,3,2,4000597393,1,4000597397,1,0,1,sample
4000597394,2,197,4000597397,3,4000597411,17,14,4000597387,7,4000597411,42,41,43,sample
4000597394,3,263,4000597411,17,4000597423,29,12,4000597387,7,4000597423,11,10,54,sample
4000597394,4,2621,4000597423,29,4000597429,35,6,4000597387,7,4000597429,325,324,379,sample
4000597464,1,5,4000597465,1,4000597469,5,4,4000597463,1,4000597469,2,1,2,sample
4000597464,2,11,4000597469,5,4000597471,7,2,4000597463,1,4000597471,1,0,3,sample
4000597464,3,13,4000597471,7,4000597477,13,6,4000597463,1,4000597477,1,0,4,sample
4000597464,4,223,4000597477,13,4000597487,23,10,4000597457,7,4000597487,42,41,46,sample
4000597464,5,31159,4000597487,23,4000597501,37,14,4000597457,7,4000597501,3309,3308,3355,sample
4000597592,1,3,4000597593,1,4000597595,3,2,4000597591,1,4000597595,1,0,1,sample
4000597592,2,5,4000597595,3,4000597597,5,2,4000597591,1,4000597597,1,0,2,sample
4000597592,3,1913,4000597597,5,4000597609,17,12,4000597571,21,4000597609,289,288,291,sample
4000597592,4,17183,4000597609,17,4000597631,39,22,4000597571,21,4000597631,1685,1684,1976,sample
4000597829,1,61,4000597831,2,4000597847,18,16,4000597829,0,4000597847,16,15,16,sample
4000597976,1,3,4000597977,1,4000597981,5,4,4000597975,1,4000597981,1,0,1,sample
4000597976,2,17,4000597981,5,4000597987,11,6,4000597973,3,4000597987,4,3,5,sample
4000597976,3,4507,4000597987,11,4000598023,47,36,4000597973,3,4000598023,604,603,609,sample
4000597976,4,4523,4000598023,47,4000598033,57,10,4000597973,3,4000598033,4,3,613,sample
